tilt,key_resp.keys,key_resp.corr,hit,miss,false alarm,correct rejection,
2,down,1,,,,1,
4,down,1,1,,,1,200
0,up,1,1,,,,
0,up,1,,1,,,
4,up,0,,,1,,
0,up,1,1,,,,
-4,up,0,,,1,,
2,down,1,,,,1,
-4,down,1,,,,1,
0,down,0,,1,,,
4,down,1,,,,1,
-3,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
4,down,1,,,,1,
1,up,0,,,1,,
3,down,1,,,,1,
3,down,1,,,,1,
-4,down,1,,,,1,
0,down,0,,1,,,
-4,down,1,,,,1,
3,down,1,,,,1,
0,down,0,,1,,,
-4,up,0,,,1,,
0,down,0,,1,,,
1,up,0,,,1,,
1,up,0,,,1,,
1,up,0,,,1,,
-4,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
-5,up,0,,,1,,
1,up,0,,,1,,
-5,up,0,,,1,,
0,down,0,,1,,,
-3,up,0,,,1,,
0,down,0,,1,,,
4,down,1,,,,1,
-5,down,1,,,,1,
0,up,1,1,,,,
-5,up,0,,,1,,
-4,down,1,,,,1,
3,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,down,0,,1,,,
0,up,1,1,,,,
-2,up,0,,,1,,
0,down,0,,1,,,
0,up,1,1,,,,
0,up,1,1,,,,
3,up,0,,,1,,
3,up,0,,,1,,
-5,down,1,,,,1,
0,up,1,1,,,,
0,up,1,1,,,,
1,up,0,,,1,,
0,up,1,1,,,,
3,down,1,,,,1,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
4,down,1,,,,1,
-2,down,1,,,,1,
4,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
4,down,1,,,,1,
0,down,0,,1,,,
0,down,0,,1,,,
3,up,0,,,1,,
-2,up,0,,,1,,
2,up,0,,,1,,
3,down,1,,,,1,
0,up,1,1,,,,
0,up,1,1,,,,
-5,up,0,,,1,,
4,up,0,,,1,,
-2,down,1,,,,1,
0,down,0,,1,,,
-2,down,1,,,,1,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
3,up,0,,,1,,
4,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,down,0,,1,,,
0,down,0,,1,,,
-3,up,0,,,1,,
0,down,0,,1,,,
1,down,1,,,,1,
0,up,1,1,,,,
0,down,0,,1,,,
4,down,1,,,,1,
4,down,1,,,,1,
0,up,1,1,,,,
4,down,1,,,,1,
4,down,1,,,,1,
-4,up,0,,,1,,
0,up,1,1,,,,
-2,down,1,,,,1,
0,up,1,1,,,,
-4,down,1,,,,1,
0,up,1,1,,,,
2,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
1,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
4,up,0,,,1,,
0,up,1,1,,,,
3,up,0,,,1,,
1,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,1,,,,
-3,down,1,,,,1,
-2,down,1,,,,1,
-5,down,1,,,,1,
-3,down,1,,,,1,
0,down,0,,1,,,
0,up,1,1,,,,
-5,down,1,,,,1,
0,up,1,1,,,,
-5,down,1,,,,1,
0,up,1,1,,,,
3,down,1,,,,1,
0,up,1,1,,,,
2,up,0,,,1,,
1,up,0,,,1,,
0,up,1,1,,,,
2,up,0,,,1,,
0,down,0,,1,,,
3,up,0,,,1,,
-2,up,0,,,1,,
0,up,1,1,,,,
4,up,0,,,1,,
-5,down,1,,,,1,
0,up,1,1,,,,
2,up,0,,,1,,
-2,up,0,,,1,,
0,up,1,1,,,,
1,up,0,,,1,,
-3,up,0,,,1,,
4,up,0,,,1,,
0,up,1,1,,,,
-3,up,0,,,1,,
-5,up,0,,,1,,
-5,down,1,,,,1,
3,down,1,,,,1,
0,down,0,,1,,,
0,up,1,1,,,,
-2,up,0,,,1,,
0,up,1,1,,,,
-4,up,0,,,1,,
0,up,1,1,,,,
0,up,1,1,,,,
0,up,1,,,,1,
-3,down,1,,,,1,
0,up,1,1,,,,
1,up,0,,,1,,
4,up,0,,,1,,
0,up,1,1,,,,
-3,up,0,,,1,,
0,up,1,1,,,,
-3,up,0,,,1,,
0,up,1,1,,,,
4,up,0,,,1,,
2,up,0,,,1,,
0,up,1,1,,,,
-2,up,0,,,1,,
-3,up,0,,,1,,
-4,up,0,,,1,,
4,up,0,,,,,
4,up,0,,,1,,
0,up,1,1,,,,
2,up,0,,,1,,
0,up,1,1,,,,
2,up,0,,,1,,
4,down,1,,,,1,
0,down,0,,1,,,
0,up,1,1,,,,
4,down,1,,,,1,
0,up,1,1,,,,
4,down,1,,,,1,
-2,down,1,,,,1,
1,down,1,,,,1,
-5,down,1,,,,1,
,,total,72,20,61,47,
,,,,,,,
,,yes,no,,,,
,signal present,72,20,,,,
,signal absent,61,47,,,,
,,,,,,,
,,,,,,,
,prop hit,0.782608696,,,,,
,prop fa,0.564814815,,,,,
,,,,,,,
,d-prime,0.944221867,,,,,
,c,-0.699439784,,,,,
